Date,open,high,low,close,volume,adjusted_close,adj factor,,Num Shares,Final Value,LN Returns,LN Returns,Port Value,Adj Factor,Num Shares,Is Diff,Purchase,Adj Factor,Port Value,
5/26/00,75.28,75.28,75.28,75.28,300,61.59,1.222276344," $7,528.00 ",100," $7,528.00 ",,," $7,528.00 ",0.81814559,100,,100,,,
5/30/00,76.03,77.44,76.03,77.44,1700,63.35,1.222415154," $7,526.96 ",99.98611897," $7,742.93 ",2.815%,2.818%,,0.818052686,122.2415154,,,,,
5/31/00,77.69,78.27,77.69,78.27,700,64.03,1.222395752," $7,527.10 ",99.98805889," $7,826.07 ",1.068%,1.068%,,0.81806567,149.4275091,,,,,
6/1/00,78.16,79,78.16,78.48,800,64.21,1.222239527," $7,528.28 ",100.0036796," $7,848.29 ",0.284%,0.281%,,0.818170234,182.636208,,,,,
6/2/00,81.25,81.25,80.97,80.98,19100,66.25,1.222339623," $7,527.52 ",99.99366959," $8,097.49 ",3.126%,3.128%,,0.818103235,223.2434736,,,,,
6/5/00,80.72,80.72,80.56,80.56,500,65.91,1.222272796," $7,528.03 ",100.0003518," $8,056.03 ",-0.513%,-0.515%,,0.818147964,272.8644247,,Adjusted Close,Close,Num Shares,
6/6/00,80.37,80.75,80,80.12,4200,65.55,1.222273074," $7,528.02 ",100.000324," $8,012.03 ",-0.548%,-0.548%,,0.818147778,333.5148392,,,$10 ,1,$10 
6/7/00,80.12,80.12,80.12,80.12,0,65.55,1.222273074," $7,528.02 ",100.000324," $8,012.03 ",0.000%,0.000%,,0.818147778,0,,,$20 ,1,$20 
6/8/00,80.87,80.87,80.42,80.45,1000,65.82,1.222272865," $7,528.03 ",100.0003449," $8,045.03 ",0.411%,0.411%,,0.818147918,0,,,$30 ,1,$30 
6/9/00,80.75,80.8,80.41,80.41,800,65.78,1.222408027," $7,527.01 ",99.98682871," $8,039.94 ",-0.063%,-0.061%,,0.818057456,0,,,$40 ,1,$40 
6/12/00,80.69,80.69,79.7,79.75,7100,65.24,1.222409565," $7,527.00 ",99.98667494," $7,973.94 ",-0.824%,-0.824%,,0.818056426,0,,,$50 ,1,$50 
6/13/00,79.44,80.53,79.37,80.53,8800,65.88,1.222374013," $7,527.26 ",99.99022959," $8,052.21 ",0.977%,0.976%,,0.818080219,0,,,$25 ,2,$50 
6/14/00,80.87,81.27,80.87,80.92,600,66.2,1.222356495," $7,527.40 ",99.99198121," $8,091.35 ",0.485%,0.485%,,0.818091943,0,,,,,
6/15/00,80.59,81.05,80.59,80.89,1400,66.18,1.22227259," $7,528.03 ",100.0003711," $8,089.03 ",-0.029%,-0.030%,,0.818148102,0,,,,,
6/16/00,80.75,80.75,80.75,80.75,600,66.06,1.2223736," $7,527.27 ",99.99027007," $8,074.21 ",-0.183%,-0.181%,,0.818080495,0,,,,,
6/19/00,79.97,80.84,79.97,80.84,1000,66.14,1.222255821," $7,528.15 ",100.0020468," $8,084.17 ",0.123%,0.121%,,0.818159327,0,,,,,
6/20/00,81.62,81.62,80.84,81.53,1200,66.7,1.222338831," $7,527.53 ",99.99374567," $8,152.49 ",0.842%,0.843%,,0.818103765,0,,,,,
6/21/00,80.69,81.05,80.69,81.05,2500,66.31,1.222289247," $7,527.90 ",99.99870368," $8,104.89 ",-0.586%,-0.586%,,0.818136952,0,,,,,
6/22/00,80.41,80.44,80,80,1900,65.45,1.222307105," $7,527.77 ",99.99691798," $7,999.75 ",-1.306%,-1.305%,,0.818125,0,,,,,
6/23/00,78.94,79.7,78.94,79.7,300,65.2,1.222392638," $7,527.12 ",99.98836491," $7,969.07 ",-0.384%,-0.383%,,0.818067754,0,,,,,
6/26/00,79.95,79.95,79.53,79.64,3200,65.15,1.222409823," $7,526.99 ",99.98664656," $7,962.94 ",-0.077%,-0.077%,,0.818056253,0,,,,,
6/27/00,79.8,79.8,79.56,79.56,2000,65.09,1.222307574," $7,527.76 ",99.99687013," $7,955.75 ",-0.090%,-0.092%,,0.818124686,0,,,,,
6/28/00,79.92,80.25,79.81,79.81,1300,65.29,1.222392403," $7,527.13 ",99.9883875," $7,980.07 ",0.305%,0.307%,,0.818067911,0,,,,,
6/29/00,79,79.87,79,79.28,10500,64.86,1.222325008," $7,527.63 ",99.99512626," $7,927.61 ",-0.660%,-0.661%,,0.818113017,0,,,,,
6/30/00,79.53,79.53,78.97,78.97,800,64.61,1.222256617," $7,528.15 ",100.001965," $7,897.16 ",-0.385%,-0.386%,,0.818158794,0,,,,,
7/3/00,78.97,78.97,78.97,78.97,0,64.61,1.222256617," $7,528.15 ",100.001965," $7,897.16 ",0.000%,0.000%,,0.818158794,0,,,,,
7/5/00,80.08,80.09,79.95,79.95,900,65.41,1.22229017," $7,527.90 ",99.99860966," $7,994.89 ",1.230%,1.231%,,0.818136335,0,,,,,
7/6/00,79.14,79.8,79.14,79.8,3000,65.28,1.222426471," $7,526.87 ",99.98497976," $7,978.80 ",-0.201%,-0.199%,,0.818045113,0,,,,,
7/7/00,80.31,81.25,80.31,81.19,4700,66.42,1.222372779," $7,527.27 ",99.99034808," $8,118.22 ",1.732%,1.731%,,0.818081044,0,,,,,
7/10/00,81.27,81.27,81,81,200,66.27,1.222272522," $7,528.03 ",100.0003729," $8,100.03 ",-0.224%,-0.226%,,0.818148148,0,,,,,
