Date,Close,Adj Close,Dividends,,divMult,revCumProdDivMult,Adj Close w/o divs,,Split Multiple,Split Multiple rounded 2d.p,Quantity Multiplyer Raw,Quantity Multiplyer
10/3/03,142.9,13.65,0,,1,0.895,15.248,,0.106702063,0.1,,
10/6/03,143.45,13.7,0,,1,0.895,15.304,,0.10668231,0.1,1,
10/7/03,143.3,13.68,0,,1,0.895,15.281,,0.106638076,0.1,1,
10/8/03,144.37,13.79,0,,1,0.895,15.404,,0.106698842,0.1,1,
10/9/03,146.8,14.02,0,,1,0.895,15.661,,0.106682787,0.1,1,
10/10/03,148.6,14.19,0,,1,0.895,15.851,,0.106668449,0.1,1,
10/13/03,150.85,14.4,0,,1,0.895,16.086,,0.106632495,0.1,1,
10/14/03,147.97,14.13,0,,1,0.895,15.784,,0.106669653,0.1,1,
10/15/03,149.76,14.3,0,,1,0.895,15.974,,0.106662707,0.1,1,
10/16/03,149.72,14.3,0,,1,0.895,15.974,,0.106691203,0.1,1,
10/17/03,148.81,14.21,0,,1,0.895,15.873,,0.10666805,0.1,1,
10/20/03,149.64,14.29,0,,1,0.895,15.963,,0.106673593,0.1,1,
10/21/03,150.39,14.36,0,,1,0.895,16.041,,0.106661546,0.1,1,
10/22/03,148.18,14.15,0,,1,0.895,15.806,,0.106669251,0.1,1,
10/23/03,146,13.94,0,,1,0.895,15.572,,0.106655268,0.1,1,
10/24/03,145.23,13.87,0,,1,0.895,15.493,,0.106682336,0.1,1,
10/27/03,146.9,14.03,0,,1,0.895,15.672,,0.106686206,0.1,1,
10/28/03,148.91,14.22,0,,1,0.895,15.884,,0.106671433,0.1,1,
10/29/03,150.15,14.34,0,,1,0.895,16.018,,0.106683243,0.1,1,
10/30/03,149.61,14.29,0,,1,0.895,15.963,,0.106694983,0.1,1,
10/31/03,148.41,14.17,0,,1,0.895,15.829,,0.106654474,0.1,1,
11/3/03,151.95,14.51,0,,1,0.895,16.208,,0.106669216,0.1,1,
11/4/03,152.37,14.55,0,,1,0.895,16.253,,0.106668434,0.1,1,
11/5/03,152.57,14.57,0,,1,0.895,16.275,,0.106675037,0.1,1,
11/6/03,151.48,14.47,0,,1,0.895,16.164,,0.106705211,0.1,1,
11/7/03,151.64,14.48,0,,1,0.895,16.175,,0.106666288,0.1,1,
11/10/03,149.55,14.28,0,,1,0.895,15.951,,0.106663096,0.1,1,
11/11/03,147.63,14.1,0,,1,0.895,15.750,,0.106688323,0.1,1,
11/12/03,150.26,14.35,0,,1,0.895,16.030,,0.106679485,0.1,1,
11/13/03,151.42,14.46,0,,1,0.895,16.153,,0.106673721,0.1,1,
11/14/03,150.65,14.39,0,,1,0.895,16.074,,0.10669991,0.1,1,
11/17/03,147.71,14.11,0,,1,0.895,15.762,,0.106706165,0.1,1,
11/18/03,148,14.13,0,,1,0.895,15.784,,0.106648031,0.1,1,
11/19/03,147.04,14.04,0,,1,0.895,15.683,,0.106660597,0.1,1,
11/20/03,145.14,13.86,0,,1,0.895,15.482,,0.106671526,0.1,1,
11/21/03,146.4,13.98,0,,1,0.895,15.616,,0.106669065,0.1,1,
11/24/03,147.99,14.13,0,,1,0.895,15.784,,0.106655237,0.1,1,
11/25/03,148.5,14.18,0,,1,0.895,15.840,,0.106665058,0.1,1,
11/26/03,149.86,14.31,0,,1,0.895,15.985,,0.106666071,0.1,1,
11/28/03,151.2,14.44,0,,1,0.895,16.130,,0.106681177,0.1,1,
12/1/03,155.53,14.85,0,,1,0.895,16.588,,0.106655849,0.1,1,
12/2/03,154.84,14.79,0,,1,0.895,16.521,,0.106698277,0.1,1,
12/3/03,154.3,14.73,0,,1,0.895,16.454,,0.106637318,0.1,1,
12/4/03,153.24,14.63,0,,1,0.895,16.342,,0.106646002,0.1,1,
12/5/03,152.95,14.61,0,,1,0.895,16.320,,0.10670214,0.1,1,
12/8/03,153.25,14.63,0,,1,0.895,16.342,,0.106639043,0.1,1,
12/9/03,152.61,14.57,0,,1,0.895,16.275,,0.106647076,0.1,1,
12/10/03,152,14.51,0,,1,0.895,16.208,,0.106634127,0.1,1,
12/11/03,154.77,14.78,0,,1,0.895,16.510,,0.10667436,0.1,1,
12/12/03,155.48,14.85,0,,1,0.895,16.588,,0.106690148,0.1,1,
12/15/03,155.6,14.86,0,,1,0.895,16.599,,0.106679657,0.1,1,
12/16/03,154.95,14.8,0,,1,0.895,16.532,,0.106694622,0.1,1,
12/17/03,153.15,14.62,0,,1,0.895,16.331,,0.106635735,0.1,1,
12/18/03,155.62,14.86,0,,1,0.895,16.599,,0.106665947,0.1,1,
12/19/03,156,14.9,0,,0.99950641,0.895,16.644,,0.106692543,0.1,1,
12/22/03,157.5,15.11,0.077,,1,0.896,16.870,,0.107112926,0.1,1,
12/23/03,157.93,15.15,0,,1,0.896,16.915,,0.10710407,0.1,1,
12/24/03,158.44,15.2,0,,1,0.896,16.971,,0.107111656,0.1,1,
12/26/03,158.84,15.24,0,,1,0.896,17.015,,0.107123084,0.1,1,
12/29/03,161.24,15.47,0,,1,0.896,17.272,,0.107121218,0.1,1,
12/30/03,162.01,15.54,0,,0.999917042,0.896,17.350,,0.107094501,0.1,1,
12/31/03,163.93,15.74,0.01344,,1,0.896,17.572,,0.107193447,0.1,1,
1/2/04,167.58,16.09,0,,1,0.896,17.963,,0.107190379,0.1,1,
1/5/04,173.46,16.65,0,,1,0.896,18.588,,0.107161021,0.1,1,
1/6/04,171.5,16.46,0,,1,0.896,18.376,,0.107148885,0.1,1,
1/7/04,171.9,16.5,0,,1,0.896,18.421,,0.107159337,0.1,1,
1/8/04,172.55,16.56,0,,1,0.896,18.488,,0.107143867,0.1,1,
1/9/04,172.24,16.53,0,,1,0.896,18.454,,0.107142256,0.1,1,
1/12/04,172.09,16.52,0,,1,0.896,18.443,,0.107170772,0.1,1,
1/13/04,171.11,16.42,0,,1,0.896,18.331,,0.107132123,0.1,1,
1/14/04,171.38,16.45,0,,1,0.896,18.365,,0.107158768,0.1,1,
1/15/04,167.88,16.11,0,,1,0.896,17.985,,0.107131831,0.1,1,
1/16/04,168.6,16.18,0,,1,0.896,18.063,,0.107137842,0.1,1,
1/20/04,173.5,16.65,0,,1,0.896,18.588,,0.107136316,0.1,1,
1/21/04,173.73,16.68,0,,1,0.896,18.622,,0.107187262,0.1,1,
1/22/04,173.29,16.63,0,,1,0.896,18.566,,0.1071373,0.1,1,
1/23/04,173,16.61,0,,1,0.896,18.543,,0.10718783,0.1,1,
1/26/04,174.15,16.72,0,,1,0.896,18.666,,0.10718518,0.1,1,
1/27/04,173.27,16.63,0,,1,0.896,18.566,,0.107149666,0.1,1,
1/28/04,170.82,16.4,0,,1,0.896,18.309,,0.107183289,0.1,1,
1/29/04,168.13,16.14,0,,1,0.896,18.019,,0.107171736,0.1,1,
1/30/04,167.9,16.12,0,,1,0.896,17.996,,0.107185562,0.1,1,
2/2/04,167.94,16.12,0,,1,0.896,17.996,,0.107160033,0.1,1,
2/3/04,167,16.03,0,,1,0.896,17.896,,0.107161553,0.1,1,
2/4/04,165.5,15.89,0,,1,0.896,17.740,,0.107188415,0.1,1,
2/5/04,165.45,15.88,0,,1,0.896,17.729,,0.107153331,0.1,1,
2/6/04,169.22,16.24,0,,1,0.896,18.130,,0.107141145,0.1,1,
2/9/04,171.66,16.48,0,,1,0.896,18.398,,0.107179086,0.1,1,
2/10/04,171.51,16.46,0,,1,0.896,18.376,,0.107142637,0.1,1,
2/11/04,174.17,16.72,0,,1,0.896,18.666,,0.107172872,0.1,1,
2/12/04,174.08,16.71,0,,1,0.896,18.655,,0.107164149,0.1,1,
2/13/04,174.2,16.72,0,,1,0.896,18.666,,0.107154415,0.1,1,
2/17/04,177.7,17.06,0,,1,0.896,19.046,,0.107179949,0.1,1,
2/18/04,175.28,16.82,0,,1,0.896,18.778,,0.107131103,0.1,1,
2/19/04,173.75,16.68,0,,1,0.896,18.622,,0.107174923,0.1,1,
2/20/04,171.8,16.49,0,,1,0.896,18.410,,0.107156728,0.1,1,
2/23/04,170.3,16.35,0,,1,0.896,18.253,,0.10718279,0.1,1,
2/24/04,169.4,16.26,0,,1,0.896,18.153,,0.107159107,0.1,1,
2/25/04,171.25,16.44,0,,1,0.896,18.354,,0.107174923,0.1,1,
2/26/04,172.1,16.52,0,,1,0.896,18.443,,0.107164544,0.1,1,
2/27/04,174.54,16.75,0,,1,0.896,18.700,,0.107137569,0.1,1,
3/1/04,178.52,17.14,0,,1,0.896,19.135,,0.107187931,0.1,1,
3/2/04,177.1,17,0,,1,0.896,18.979,,0.107164837,0.1,1,
3/3/04,176,16.89,0,,1,0.896,18.856,,0.107136864,0.1,1,
3/4/04,177.2,17.01,0,,1,0.896,18.990,,0.107167363,0.1,1,
3/5/04,177.85,17.07,0,,1,0.896,19.057,,0.107152325,0.1,1,
3/8/04,176.15,16.91,0,,1,0.896,18.878,,0.107172388,0.1,1,
3/9/04,175,16.8,0,,1,0.896,18.756,,0.107174923,0.1,1,
3/10/04,171,16.41,0,,1,0.896,18.320,,0.107135751,0.1,1,
