Date,Open,High,Low,Close,Volume,Adj Close,Dividends
2007-10-11,104.49,104.5,104.0,104.39,22300,64.5,0.0
2007-10-12,104.42,104.6,104.42,104.5,73700,64.57,0.0
2007-10-15,105.2,105.2,104.5,105.0,24600,64.88,0.0
2007-10-16,104.5,104.68,104.1,104.6,60600,64.63,0.0
2007-10-17,104.03,104.65,103.31,103.31,15200,63.84,0.0
2007-10-18,104.23,104.25,103.25,103.26,13200,63.81,0.0
2007-10-19,103.25,103.94,102.0,102.8,40200,63.52,0.0
2007-10-22,102.8,102.8,101.85,101.85,64600,62.94,0.0
2007-10-23,102.19,102.7,101.95,102.7,27000,63.46,0.0
2007-10-24,102.6,102.75,102.3,102.7,22200,63.46,0.0
2007-10-25,102.99,102.99,102.64,102.85,16600,63.55,0.0
2007-10-26,102.7,103.09,102.6,103.09,10800,63.7,0.0
2007-10-29,103.49,103.5,103.06,103.4,19900,63.89,0.0
2007-10-30,103.3,103.3,102.7,103.2,10500,63.77,0.0
2007-10-31,103.61,104.0,103.04,103.85,12000,64.17,0.0
2007-11-01,102.71,102.9,102.0,102.5,29400,63.75,0.0
2007-11-02,102.49,102.5,101.92,102.25,32300,63.6,0.0
2007-11-05,106.0,106.0,101.5,102.2,13800,63.57,0.0
2007-11-06,102.2,103.15,102.2,102.73,34900,63.9,0.0
2007-11-07,101.82,103.1,101.82,102.6,11900,63.82,0.0
2007-11-08,102.85,102.85,100.41,101.3,121000,63.01,0.0
2007-11-09,101.57,101.75,100.51,101.75,38400,63.29,0.0
2007-11-12,103.02,103.02,101.9,102.15,41400,63.54,0.0
2007-11-13,102.95,102.95,101.56,101.75,15300,63.29,0.0
2007-11-14,102.75,102.75,101.7,102.0,7800,63.44,0.0
2007-11-15,101.99,102.34,101.68,101.97,15500,63.42,0.0
2007-11-16,103.0,103.0,101.53,102.0,18400,63.44,0.0
2007-11-19,102.7,102.7,101.78,102.0,16700,63.44,0.0
2007-11-20,101.75,102.39,100.41,101.0,26500,62.82,0.0
2007-11-21,100.7,100.7,97.0,99.1,139600,61.64,0.0
2007-11-23,99.2,100.5,98.91,98.91,3100,61.52,0.0
2007-11-26,98.0,101.0,98.0,100.0,69500,62.2,0.0
2007-11-27,100.5,101.48,99.5,100.15,25700,62.29,0.0
2007-11-28,99.58,101.2,99.58,101.1,11700,62.88,0.0
2007-11-29,101.75,101.75,100.1,101.6,20200,63.19,0.0
2007-11-30,102.0,102.5,101.51,102.01,34900,63.45,0.0
2007-12-03,103.0,103.0,101.1,102.39,31400,64.09,0.642
2007-12-04,103.0,103.0,102.0,102.0,16300,63.85,0.0
